Id,OverallQual,TotalBsmtSF,GrLivArea,FullBath,KitchenQual,GarageCars,Antiquity,SalePrice
1262,5,1050,1050,1,1.61,1,53,128900
1263,4,1104,1788,1,1.61,1,20,161500
1264,6,764,1824,1,1.61,2,57,180500
1265,6,1405,1337,2,1.61,2,9,181000
1266,7,691,1452,2,1.61,2,7,183900
1267,7,925,1889,1,1.61,1,57,122000
1268,9,2002,2018,2,3.14,3,1,378500
1269,8,728,3447,3,1.61,3,11,381000
1270,5,874,1524,1,1.61,1,49,144000
1271,7,1332,1524,0,1.61,2,31,260000
1272,6,1489,1489,2,1.61,2,41,185750
1273,5,935,935,1,1.61,1,41,137000
1274,6,1019,1357,1,3.14,1,2,177000
1275,5,661,1250,2,1.61,2,4,139000
1276,5,928,1920,2,1.61,2,57,137000
1277,6,723,1395,1,1.61,2,37,162000
1278,6,1680,1724,1,1.61,2,33,197900
1279,8,1128,2031,2,1.61,2,6,237000
1280,4,698,1128,1,1.61,2,60,68400
1281,7,1573,1573,2,1.61,2,7,227000
1282,7,1309,1339,2,1.61,2,16,180000
1283,5,1040,1040,2,1.61,2,1,150500
1284,6,912,1824,2,1.61,0,39,139000
1285,6,804,2447,2,1.61,1,20,169000
1286,6,780,1412,1,1.61,1,59,132500
1287,6,1328,1328,1,1.61,2,47,143000
1289,8,1501,1659,2,3.14,2,9,278000
1290,8,1085,1970,2,3.14,3,0,281000
1291,5,1152,1152,1,1.61,2,46,180500
1292,5,630,1302,2,1.61,1,37,119500
1293,5,994,2372,2,1.61,1,44,107500
1294,7,832,1664,2,1.61,2,30,162900
1295,5,864,864,1,1.61,2,16,115000
1296,5,1052,1052,1,1.61,1,38,138500
1297,5,1120,1128,2,1.61,2,45,155000
1298,6,547,1072,2,1.61,2,0,140000
1300,5,1246,1246,1,1.61,1,16,154000
1301,7,978,1983,2,1.61,2,10,225000
1302,6,771,1494,1,1.61,1,59,177500
1303,8,1165,2526,2,1.61,3,12,290000
1304,7,1616,1616,2,1.61,3,1,232000
1305,7,976,1708,2,1.61,2,2,130000
1306,9,1652,1652,2,3.14,2,2,325000
1307,7,1368,1368,2,1.61,2,0,202500
1308,5,990,990,1,1.61,2,14,138000
1309,5,924,1122,1,1.61,2,3,147000
1310,6,1278,1294,2,1.61,2,17,179200
1311,7,1902,1902,2,3.14,2,8,335000
1312,7,1274,1274,2,1.61,2,0,203000
1313,8,1453,2810,2,1.61,2,17,302000
1314,9,1393,2599,2,1.61,3,11,333168
1315,4,948,948,1,1.61,1,53,119000
1316,6,952,2112,2,1.61,2,39,206900
1317,8,1622,1630,2,3.14,3,1,295493
1318,7,1352,1352,2,1.61,2,0,208900
1319,8,1753,1787,2,1.61,3,4,275000
1320,4,864,948,1,1.61,1,53,111000
1321,6,1478,1478,1,1.61,2,52,156500
1322,3,0,720,1,1.61,1,58,72500
1323,7,750,1923,2,1.61,2,18,190000
1324,4,420,708,1,1.0,0,59,82500
1325,8,1795,1795,2,1.61,3,0,147000
1326,4,796,796,1,1.61,0,58,55000
1327,3,544,774,1,1.61,0,1,79000
1328,5,816,816,1,1.61,1,0,130500
1329,6,1510,2792,2,1.61,2,58,256000
1330,7,935,1632,2,1.61,2,8,176500
1331,8,1588,1588,2,1.61,3,1,227000
1332,5,911,954,1,1.61,2,30,132500
1333,4,816,816,1,1.61,1,51,100000
1334,5,803,1360,1,1.61,1,11,125500
1335,5,765,1365,1,1.61,2,39,125000
1336,6,1350,1334,2,1.61,2,32,167900
1337,5,1656,1656,2,1.61,2,35,135000
1338,4,693,693,1,1.0,0,56,52500
1339,7,916,1861,2,1.61,2,4,200000
1340,5,864,864,1,1.61,1,34,128500
1341,4,858,872,1,1.61,4,36,123000
1342,6,1114,1114,1,1.61,2,4,155000
1343,8,1284,2169,2,1.61,2,5,228500
1344,6,896,1913,1,1.61,2,59,177000
1345,7,728,1456,2,1.61,2,1,155835
1346,4,960,960,1,1.0,1,57,108500
1347,7,1568,2156,2,1.61,2,3,262500
1348,8,1732,1776,2,1.61,3,0,283463
1349,7,1482,1494,2,1.61,2,9,215000
1350,8,684,2358,2,1.61,0,21,122000
1351,5,1248,2634,2,1.61,4,40,200000
1352,6,858,1716,1,1.61,2,46,171000
1353,6,698,1176,1,1.61,2,9,134900
1354,8,2033,3238,2,1.61,3,14,410000
1355,7,992,1865,2,1.61,3,8,235000
1356,7,570,1920,3,1.61,2,14,170000
1357,5,864,892,1,1.61,1,42,110000
1358,5,1078,1078,1,1.61,2,2,149900
1359,6,756,1573,2,1.61,2,10,177500
1360,9,1980,1980,2,3.14,3,1,315000
1361,5,612,2601,3,1.61,2,10,189000
1362,7,1530,1530,2,1.61,2,4,260000
1363,4,715,1738,2,1.61,1,2,104900
1364,6,616,1412,2,1.61,2,0,156932
1365,7,600,1200,2,1.61,2,1,144152
1366,7,814,1674,2,1.61,2,10,216000
1367,7,873,1790,2,1.61,2,9,193000
1368,5,757,1475,2,1.61,1,29,127000
1369,6,848,848,1,1.61,2,5,144000
1370,8,1657,1668,2,1.61,2,7,232000
1371,4,840,1374,1,1.61,1,59,105000
1372,6,992,1661,1,1.61,1,12,165500
1373,7,1108,2097,2,1.61,2,8,274300
1374,10,2633,2633,2,3.14,3,5,466500
1375,7,1026,1958,2,1.61,3,3,250000
1376,8,1571,1571,2,1.61,3,0,239000
1377,6,768,790,1,1.61,1,58,91000
1378,5,984,1604,2,1.61,2,49,117000
1379,6,483,987,1,1.61,1,33,83000
1380,5,384,1394,2,1.61,2,1,167500
1381,3,864,864,1,1.61,1,60,58500
1382,6,1205,2117,2,1.61,2,38,237500
1383,7,596,1762,1,1.61,2,56,157000
1385,6,560,1258,1,1.61,1,59,105000
1386,4,796,1154,1,1.61,1,3,125500
1387,7,1392,2784,3,1.61,2,28,250000
1388,6,714,2526,2,1.61,1,57,136000
1389,9,1746,1746,2,3.14,3,2,377500
1390,6,735,1218,1,1.61,2,57,131000
1391,7,1525,1525,2,1.61,2,6,235000
1392,5,1584,1584,2,1.61,3,42,124000
1393,5,864,900,1,1.61,1,39,123000
1394,6,482,1912,2,1.61,2,8,163000
1395,7,1356,1500,2,1.61,3,0,246578
1396,8,1094,2482,2,1.61,3,1,281213
1398,5,939,1513,1,1.61,1,3,137500
1399,5,1208,1904,1,1.61,1,27,138000
1400,6,976,1608,2,1.61,1,19,137450
1401,6,862,1158,1,1.61,1,58,120000
1402,6,839,1593,2,1.61,2,4,193000
1403,7,1286,1294,2,1.61,2,0,193879
1404,8,1485,1464,2,1.61,3,0,282922
1405,3,672,1214,1,1.61,3,56,105000
1406,8,1594,1646,2,1.61,2,3,275000
1407,5,768,768,1,1.61,2,2,133000
1408,5,833,833,1,1.61,0,24,112000
1409,4,622,1363,1,1.61,2,60,125500
1410,7,791,2093,2,1.61,2,17,215000
1411,7,944,1840,2,1.61,2,8,230000
1412,6,856,1668,1,1.61,1,4,140000
1413,4,0,1040,2,1.61,2,59,90000
1414,8,1844,1844,2,1.61,2,3,257000
1415,6,833,1848,1,1.61,2,8,207000
1416,7,1386,1569,2,1.61,3,2,175900
1417,4,777,2290,2,1.61,2,60,122500
1418,8,1284,2450,2,1.61,3,11,340000
1419,5,1144,1144,1,1.61,1,45,124000
1420,6,1844,1844,2,1.61,2,37,223000
1421,6,708,1416,2,1.61,2,38,179900
1422,6,1069,1069,2,1.61,2,33,127500
1423,6,848,848,1,1.61,2,5,136500
1424,6,697,2201,2,1.61,2,40,274970
1425,5,1024,1344,1,1.61,1,24,144000
1426,6,1252,1252,1,1.61,2,49,142000
1427,7,1223,2127,2,1.61,2,14,271000
1428,5,913,1558,1,1.61,1,58,140000
1429,5,788,804,1,1.61,1,18,119000
1430,6,1440,1440,2,1.61,2,26,182900
1431,5,732,1838,2,1.61,2,1,192140
1432,6,958,958,2,1.61,2,33,143750
1433,4,656,968,2,1.61,1,0,64500
1434,6,936,1792,2,1.61,2,8,186500
1435,5,1126,1126,2,1.61,2,29,160000
1436,6,1319,1537,1,1.61,2,3,174000
1437,4,864,864,1,1.61,2,36,120500
1438,8,1932,1932,2,3.14,3,0,394617
1439,6,912,1236,1,1.61,2,14,149700
1440,7,539,1725,2,1.61,2,28,197000
1441,6,588,2555,2,1.61,2,14,191000
1442,6,848,848,1,1.61,2,4,149300
1443,10,1017,2007,2,3.14,3,1,310000
1444,6,952,952,1,1.0,1,59,121000
1445,7,1422,1422,2,1.61,2,3,179600
1446,6,814,913,1,1.61,1,41,129000
1448,8,1220,2090,2,1.61,2,11,240000
1449,4,560,1346,1,1.61,1,7,112000
1450,5,630,630,1,3.14,0,36,92000
1451,5,896,1792,2,1.61,0,35,136000
1452,8,1573,1578,2,3.14,3,0,287090
1453,5,547,1072,1,1.61,2,1,145000
1454,5,1140,1140,1,1.61,0,0,84500
1455,7,1221,1221,2,1.61,2,4,185000
1456,6,953,1647,2,1.61,2,7,175000
1457,6,1542,2073,2,1.61,2,22,210000
1458,7,1152,2340,2,1.61,1,4,266500
1459,5,1078,1078,1,1.61,1,14,142125
1460,5,1256,1256,1,1.61,1,43,147500
